2.8264  MSE 26360.6113, SSIM 0.0101
30 151.2918  MSE 25222.5605, SSIM 0.0062
40 150.2606  MSE 26660.0957, SSIM 0.0044
50 149.6043  MSE 25519.1621, SSIM 0.0097
60 149.2164  MSE 25877.8076, SSIM 0.0151
70 148.8266  MSE 25772.1084, SSIM -0.0090
80 148.4743  MSE 26522.3662, SSIM -0.0006
90 148.1971  MSE 26832.1758, SSIM 0.0001
100 147.9462  MSE 25412.2383, SSIM 0.0146
110 147.5945  MSE 25816.5381, SSIM 0.0038
120 147.3743  MSE 25876.0693, SSIM 0.0054
130 147.1957  MSE 25811.4463, SSIM -0.0131
140 147.0214  MSE 26044.9023, SSIM 0.0167
150 146.8138  MSE 25611.8721, SSIM 0.0078
160 146.6202  MSE 26578.4893, SSIM 0.0007
170 146.4595  MSE 25838.7031, SSIM 0.0248
180 146.3607  MSE 25496.0176, SSIM 0.0167
190 146.2714  MSE 26099.2188, SSIM -0.0020
0 260.6738  MSE 27852.0664, SSIM 0.0307
10 38.8850  MSE 28184.8037, SSIM 0.0161
20 13.0868  MSE 27861.0928, SSIM 0.0034
30 6.2958  MSE 27757.6123, SSIM -0.0008
40 2.9204  MSE 28280.3477, SSIM -0.0008
50 1.2303  MSE 27804.8438, SSIM 0.0150
60 0.4771  MSE 26768.7266, SSIM 0.0282
70 0.2125  MSE 26062.7568, SSIM 0.0573
80 0.1073  MSE 24168.2461, SSIM 0.0886
90 0.0570  MSE 20237.5723, SSIM 0.1522
100 0.0297  MSE 17007.5479, SSIM 0.2384
110 0.0163  MSE 13765.4951, SSIM 0.3407
120 0.0092  MSE 11259.9355, SSIM 0.4242
130 0.0055  MSE 9095.4424, SSIM 0.5072
140 0.0035  MSE 7134.6846, SSIM 0.5835
150 0.0022  MSE 5770.4238, SSIM 0.6631
160 0.0014  MSE 5023.1387, SSIM 0.7080
170 0.0009  MSE 4105.8340, SSIM 0.7490
180 0.0006  MSE 3311.0098, SSIM 0.7933
190 0.0004  MSE 2638.9414, SSIM 0.8282
0 482.9057  MSE 27605.4912, SSIM 0.0177
10 193.4539  MSE 27812.5947, SSIM 0.0028
20 168.5592  MSE 28149.5674, SSIM 0.0229
30 158.5130  MSE 27918.9434, SSIM -0.0002
40 152.3329  MSE 28175.3506, SSIM 0.0077
50 148.4714  MSE 28022.9805, SSIM 0.0338
60 146.3206  MSE 27000.7871, SSIM 0.0082
70 144.7355  MSE 28487.4082, SSIM 0.0118
80 143.6924  MSE 27667.4512, SSIM 0.0046
90 142.9995  MSE 28259.5449, SSIM -0.0042
100 142.4408  MSE 28411.6045, SSIM -0.0105
110 141.8903  MSE 28410.4307, SSIM -0.0179
120 141.4024  MSE 28389.1025, SSIM -0.0209
130 140.9061  MSE 27603.9434, SSIM 0.0020
140 140.6320  MSE 28450.3613, SSIM -0.0039
150 140.3864  MSE 28365.6465, SSIM 0.0119
160 140.1346  MSE 28480.8174, SSIM 0.0105
170 139.9012  MSE 27341.0869, SSIM 0.0208
180 139.6570  MSE 26408.7510, SSIM 0.0361
190 139.4327  MSE 25842.3242, SSIM 0.0431
0 40.4613  MSE 31295.1445, SSIM 0.0114
10 7.5473  MSE 31846.0049, SSIM -0.0042
20 4.6336  MSE 31266.2939, SSIM -0.0186
30 2.8923  MSE 31705.7490, SSIM -0.0013
40 1.9252  MSE 32440.3447, SSIM 0.0065
50 1.1066  MSE 31625.4463, SSIM 0.0040
60 0.5783  MSE 32525.0762, SSIM 0.0079
70 0.3412  MSE 31442.6963, SSIM -0.0085
